Day,Date Offset,Phase,Channel,Format,Pillar,Hook / Headline,Caption / Copy,Hashtags,CTA,Asset Reference
1,Mon Wk1,Ignite,Instagram,Reel (15s),Empire Stories,"The new home of Breed is live.","After months of building behind closed doors — thebreed.co.za is officially open. One platform. Every service you need to launch and scale a real business in South Africa. Welcome to the Empire.",#TheBreed #FromIdeaToEmpire #DurbanBusiness #LaunchDay,Visit thebreed.co.za,03-IG-Story-LaunchAnnouncement.svg
1,Mon Wk1,Ignite,Instagram,Story (3 frames),Promo,"JUST LAUNCHED → SWIPE","Frame 1: Just launched. Frame 2: One platform / every service. Frame 3: thebreed.co.za + tap to visit.",,Tap link,03-IG-Story-LaunchAnnouncement.svg
1,Mon Wk1,Ignite,LinkedIn,Long-post + image,Behind The Breed,"Why we rebuilt Breed Industries from scratch.","Founder note from Lance — the brief was simple: stop making founders bounce between five tools. Today we put it all under one roof: registration, branding, profiles, websites, apps. The Breed is live at thebreed.co.za.",#Entrepreneurship #DurbanBusiness #SmallBusinessSA,Visit site / DM to chat,06-LinkedIn-Banner.svg
1,Mon Wk1,Ignite,Facebook,Post + cover update,Promo,"The new home of Breed is live.","Same hands. Bigger toolkit. The Breed Industries platform is officially live at thebreed.co.za — register your company, build your brand, ship your website, all in one place.",#TheBreed #DurbanBusiness,Visit site,05-FB-Cover-Banner.svg
1,Mon Wk1,Ignite,TikTok,Reel (30s),Founder Education,"POV: you tried to register a business yourself.","Skit — founder googling CIPC at 2am, gives up, opens The Breed, gets a quote in 60 seconds. Hook in first 1.5 seconds.",#SouthAfricanBusiness #CIPC #BusinessTok #SmallBusinessSA,Comment EMPIRE for the link,Use video script #1
1,Mon Wk1,Ignite,Email,Newsletter,Promo,"You're invited inside the Empire.","Three-paragraph announcement + button to thebreed.co.za + signature from Lance.",,Visit site,Launch email #1
2,Tue Wk1,Ignite,Instagram,Carousel (8 slides),Founder Education,"What 'From Idea to Empire' actually means.","Slide-by-slide breakdown of the four pillars: Setup / Brand / Profile / Digital + a Build-Your-Package teaser.",#FromIdeaToEmpire #SmmeSA,Tap link in bio,02-IG-Square-OneRoof.svg
2,Tue Wk1,Ignite,LinkedIn,Image post,Empire Stories,"Real products we shipped this year.","List of 3 portfolio names (Engage Africa IO, MLK Apparel, HOGI Church) + one line each + link.",#TechSA #StartupSA,View portfolio,06-LinkedIn-Banner.svg
3,Wed Wk1,Ignite,TikTok,Reel (45s),Behind The Breed,"Watch us register a company in 15 minutes.","Speed-run — open laptop, fill CIPC form, capture confirmation, voice-over countdown timer.",#CIPC #BusinessTok #DurbanTikTok,DM REGISTER,Use video script #2
3,Wed Wk1,Ignite,Instagram,Story Q&A,Founder Education,"Ask me anything about starting a business in SA.","Use the question sticker. Save best answers as Highlight 'Founder FAQ'.",,Send a question,—
4,Thu Wk1,Ignite,Instagram,Reel (20s),Promo,"Three packages. One mission.","Quick visual cycle through Launch / Growth / Empire price bands with on-screen text.",#PricingMatters #FromIdeaToEmpire,Choose your lane,07-IG-Square-Pricing.svg
4,Thu Wk1,Ignite,Facebook,Album (6 photos),Behind The Breed,"Inside the studio.","Behind-the-scenes at the Durban office — moodboard, designers at work, packaging.",#DurbanBusiness,Follow us,—
5,Fri Wk1,Ignite,Instagram,Carousel,Empire Stories,"Case study: I-Group from idea to operating in 21 days.","Hero stat slide → before/after logo → printed business card → website screenshot → testimonial.",#CaseStudy #DurbanBusiness,DM EMPIRE for a quote,—
5,Fri Wk1,Ignite,LinkedIn,Article (300 words),Empire Stories,"How we took I-Group from idea to operating in 21 days.","Process breakdown — registration / branding / web / launch — all under one roof.",#SmallBusinessSA #Branding,Read more on website,—
